Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak
proto5_pre-stim_sw100,3914.72,3916.41,5.0,pre-stim,3915.01,3916.08
proto5_pre-stim_sw101,3929.78,3931.15,5.0,pre-stim,3930.28,3930.84
proto5_pre-stim_sw103,3946.01,3947.39,5.0,pre-stim,3946.51,3947.03
proto5_pre-stim_sw246,3949.64,3951.15,5.0,pre-stim,3949.91,3950.86
proto5_early-stim_sw1,3960.96,3962.54,5.0,early-stim,3961.42,3962.11
proto5_early-stim_sw10,4033.48,4035.22,5.0,early-stim,4033.98,4034.69
proto5_early-stim_sw100,4038.13,4039.62,5.0,early-stim,4038.71,4039.31
proto5_early-stim_sw16,4049.27,4050.87,5.0,early-stim,4049.56,4050.56
proto5_early-stim_sw17,4053.96,4055.04,5.0,early-stim,4054.23,4054.73
proto5_early-stim_sw61,4055.98,4057.05,5.0,early-stim,4056.29,4056.75
proto5_late-stim_sw1,4067.21,4068.31,5.0,late-stim,4067.52,4068.06
proto5_late-stim_sw100,4113.17,4115.06,5.0,late-stim,4113.95,4114.51
proto5_late-stim_sw102,4139.58,4140.78,5.0,late-stim,4139.91,4140.47
proto5_late-stim_sw103,4144.02,4145.46,5.0,late-stim,4144.27,4145.22
proto5_late-stim_sw104,4147.6,4148.71,5.0,late-stim,4147.94,4148.45
proto5_post-stim_sw1,4298.45,4300.33,5.0,post-stim,4299.15,4299.79
proto5_post-stim_sw10,4310.13,4311.14,5.0,post-stim,4310.38,4310.85
proto5_post-stim_sw103,4355.44,4356.9,5.0,post-stim,4355.83,4356.68
proto5_post-stim_sw113,4360.56,4361.39,5.0,post-stim,4360.84,4361.25
proto6_pre-stim_sw1,4648.96,4651.07,6.0,pre-stim,4650.16,4650.72
proto6_pre-stim_sw30,4657.07,4658.17,6.0,pre-stim,4657.4,4657.89
proto6_pre-stim_sw45,4670.79,4672.4,6.0,pre-stim,4671.1,4671.7
proto6_early-stim_sw1,4696.9,4698.7,6.0,early-stim,4697.78,4698.31
proto6_early-stim_sw27,4711.63,4713.24,6.0,early-stim,4712.0,4712.91
proto6_late-stim_sw1,4774.0,4775.54,6.0,late-stim,4774.32,4774.83
proto6_post-stim_sw1,4802.0,4803.35,6.0,post-stim,4802.39,4803.11
proto6_post-stim_sw10,4819.27,4820.95,6.0,post-stim,4820.01,4820.52
proto7_pre-stim_sw1,5107.76,5109.7,7.0,pre-stim,5108.73,5109.31
proto7_pre-stim_sw11,5171.65,5173.37,7.0,pre-stim,5172.09,5173.1
proto7_pre-stim_sw12,5264.41,5266.52,7.0,pre-stim,5265.32,5265.85
proto7_early-stim_sw1,5374.15,5375.98,7.0,early-stim,5375.13,5375.62
proto7_late-stim_sw1,5488.39,5489.86,7.0,late-stim,5488.73,5489.21
proto7_late-stim_sw11,5493.44,5495.44,7.0,late-stim,5493.93,5495.1
proto7_post-stim_sw1,5568.6,5570.08,7.0,post-stim,5568.93,5569.8
proto7_post-stim_sw10,5612.42,5614.57,7.0,post-stim,5612.68,5614.26
proto8_pre-stim_sw1,6004.71,6005.76,8.0,pre-stim,6005.01,6005.51
proto8_pre-stim_sw13,6015.75,6017.57,8.0,pre-stim,6016.19,6017.28
proto8_pre-stim_sw14,6020.07,6022.09,8.0,pre-stim,6020.35,6021.77
proto8_pre-stim_sw2,6064.83,6067.08,8.0,pre-stim,6065.78,6066.68
proto8_early-stim_sw1,6158.09,6159.92,8.0,early-stim,6158.85,6159.42
proto8_early-stim_sw10,6168.42,6170.75,8.0,early-stim,6169.49,6170.14
proto8_late-stim_sw1,6207.54,6208.88,8.0,late-stim,6207.78,6208.27
proto8_late-stim_sw10,6209.71,6212.18,8.0,late-stim,6210.94,6211.54
proto8_late-stim_sw11,6214.37,6215.73,8.0,late-stim,6214.72,6215.36
proto8_post-stim_sw1,6286.57,6288.34,8.0,post-stim,6287.21,6287.91
proto8_post-stim_sw10,6411.32,6412.26,8.0,post-stim,6411.61,6412.06
proto8_post-stim_sw11,6427.57,6429.19,8.0,post-stim,6428.33,6428.87
proto8_post-stim_sw12,6447.87,6450.02,8.0,post-stim,6448.29,6449.5
proto9_pre-stim_sw1,7059.11,7060.99,9.0,pre-stim,7059.47,7060.56
proto9_pre-stim_sw2,7128.11,7129.8,9.0,pre-stim,7128.61,7129.36
proto9_pre-stim_sw9,7174.81,7177.09,9.0,pre-stim,7175.81,7176.52
proto9_early-stim_sw1,7270.71,7272.77,9.0,early-stim,7271.16,7272.08
proto9_late-stim_sw1,7342.64,7344.66,9.0,late-stim,7343.44,7343.98
proto9_late-stim_sw4,7386.57,7388.39,9.0,late-stim,7386.96,7387.8
proto10_pre-stim_sw1,7889.38,7891.22,10.0,pre-stim,7889.83,7890.82
proto10_pre-stim_sw4,7941.63,7943.91,10.0,pre-stim,7942.71,7943.47
proto10_late-stim_sw1,8057.29,8059.01,10.0,late-stim,8057.76,8058.37
proto10_post-stim_sw1,8171.7,8173.77,10.0,post-stim,8172.58,8173.44
proto10_post-stim_sw4,8182.71,8184.54,10.0,post-stim,8183.01,8184.02
proto11_pre-stim_sw1,8343.19,8344.75,11.0,pre-stim,8343.55,8344.45
proto11_pre-stim_sw10,8419.79,8421.68,11.0,pre-stim,8420.12,8421.35
proto11_early-stim_sw1,8464.54,8466.03,11.0,early-stim,8464.89,8465.81
proto11_early-stim_sw12,8466.9,8468.63,11.0,early-stim,8467.19,8468.26
proto11_early-stim_sw4,8475.78,8477.43,11.0,early-stim,8476.17,8476.75
proto11_late-stim_sw1,8563.32,8565.14,11.0,late-stim,8564.17,8564.75
proto11_post-stim_sw1,8637.16,8637.97,11.0,post-stim,8637.38,8637.8
proto12_pre-stim_sw1,9074.78,9076.59,12.0,pre-stim,9075.53,9076.12
proto12_early-stim_sw1,9179.62,9181.05,12.0,early-stim,9179.88,9180.34
proto12_late-stim_sw1,9280.94,9282.46,12.0,late-stim,9281.27,9282.03
proto12_post-stim_sw1,9425.19,9427.1,12.0,post-stim,9425.47,9426.81
proto12_post-stim_sw16,9460.94,9462.54,12.0,post-stim,9461.27,9461.78
proto12_post-stim_sw85,9483.42,9485.07,12.0,post-stim,9483.73,9484.56
proto13_pre-stim_sw1,10134.27,10135.96,13.0,pre-stim,10134.71,10135.56
proto13_pre-stim_sw101,10136.76,10137.77,13.0,pre-stim,10137.0,10137.48
proto13_pre-stim_sw102,10138.78,10139.75,13.0,pre-stim,10138.99,10139.45
