Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto3_early-stim_sw102,1704.78,1706.25,3.0,early-stim,1705.17,1705.73,E37,-67.35917962337136
proto3_early-stim_sw104,1775.23,1776.89,3.0,early-stim,1775.63,1776.52,E37,-51.27958028887444
proto3_early-stim_sw105,1781.7,1783.34,3.0,early-stim,1782.08,1782.69,E37,-52.4102972995831
proto3_late-stim_sw1,1821.95,1824.09,3.0,late-stim,1822.67,1823.71,E1,-44.132588740090945
proto3_late-stim_sw102,1882.66,1884.45,3.0,late-stim,1883.61,1884.12,E22,-50.18452371815583
proto3_post-stim_sw10,1905.68,1906.76,3.0,post-stim,1906.03,1906.51,E2,-54.873104066251315
proto3_post-stim_sw100,1954.42,1955.51,3.0,post-stim,1954.74,1955.22,E29,-41.123735614966975
proto3_post-stim_sw107,1981.04,1983.0,3.0,post-stim,1982.05,1982.59,E31,-45.73445706574154
proto3_post-stim_sw108,2072.59,2074.48,3.0,post-stim,2072.91,2074.05,E31,-44.020250086005404
proto4_pre-stim_sw1,2604.7,2605.69,4.0,pre-stim,2604.95,2605.4,E1,-48.51283765795948
proto4_pre-stim_sw11,2701.89,2703.97,4.0,pre-stim,2703.13,2703.64,E12,-50.775928982604285
proto4_early-stim_sw1,2704.69,2706.2,4.0,early-stim,2704.96,2705.85,E1,-47.91576427247648
proto4_early-stim_sw10,2765.24,2766.89,4.0,early-stim,2766.01,2766.54,E32,-43.85238634114474
proto4_late-stim_sw1,2876.67,2877.87,4.0,late-stim,2877.06,2877.62,E1,-52.23353071297302
proto4_late-stim_sw16,2893.64,2895.54,4.0,late-stim,2893.94,2895.17,E10,-46.12940012488566
proto4_post-stim_sw1,3068.22,3069.83,4.0,post-stim,3069.02,3069.53,E5,-40.428146350387834
proto4_post-stim_sw10,3114.15,3115.75,4.0,post-stim,3114.45,3115.51,E25,-55.52544224084247
proto5_pre-stim_sw1,3829.87,3831.03,5.0,pre-stim,3830.14,3830.66,E1,-49.46128330963906
proto5_pre-stim_sw100,3914.72,3916.41,5.0,pre-stim,3915.01,3916.08,E18,-42.85627490284547
proto5_pre-stim_sw101,3929.78,3931.15,5.0,pre-stim,3930.28,3930.84,E18,-46.804006525683675
proto5_pre-stim_sw103,3946.01,3947.39,5.0,pre-stim,3946.51,3947.03,E18,-43.361424494537445
proto5_pre-stim_sw246,3949.64,3951.15,5.0,pre-stim,3949.91,3950.86,E100,-52.983890825291084
proto5_early-stim_sw1,3960.96,3962.54,5.0,early-stim,3961.42,3962.11,E1,-41.623647712766136
proto5_early-stim_sw10,4033.48,4035.22,5.0,early-stim,4033.98,4034.69,E7,-50.079319779747536
proto5_early-stim_sw100,4038.13,4039.62,5.0,early-stim,4038.71,4039.31,E38,-40.233492269183714
proto5_early-stim_sw16,4049.27,4050.87,5.0,early-stim,4049.56,4050.56,E10,-43.00702005456705
proto5_early-stim_sw17,4053.96,4055.04,5.0,early-stim,4054.23,4054.73,E10,-43.63730915598818
proto5_early-stim_sw61,4055.98,4057.05,5.0,early-stim,4056.29,4056.75,E26,-42.85323797561435
proto5_late-stim_sw1,4067.21,4068.31,5.0,late-stim,4067.52,4068.06,E1,-43.27064003886002
