Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_pre-stim_sw9,203.14,204.71,1.0,pre-stim,203.49,204.4,E7,-45.92571781239462
proto1_early-stim_sw1,273.76,275.65,1.0,early-stim,274.03,275.16,E1,-41.82448662687887
proto1_early-stim_sw10,273.76,275.45,1.0,early-stim,274.07,275.13,E11,-42.85149650585513
proto1_early-stim_sw11,281.11,282.08,1.0,early-stim,281.35,281.84,E11,-49.87617141717254
proto1_early-stim_sw12,371.34,372.4,1.0,early-stim,371.67,372.14,E11,-44.9048778602717
proto1_early-stim_sw13,371.37,372.36,1.0,early-stim,371.65,372.13,E12,-55.96381807235552
proto1_early-stim_sw14,371.38,372.38,1.0,early-stim,371.65,372.13,E13,-52.42331453637227
proto1_early-stim_sw15,371.37,372.37,1.0,early-stim,371.64,372.13,E14,-44.881910556623254
proto1_early-stim_sw16,273.77,275.44,1.0,early-stim,274.07,275.12,E18,-48.74590542388607
proto1_early-stim_sw17,315.81,316.8,1.0,early-stim,316.11,316.57,E18,-42.59695796058999
proto1_early-stim_sw18,371.34,372.42,1.0,early-stim,371.66,372.15,E18,-50.92631339900143
proto1_early-stim_sw19,273.73,275.37,1.0,early-stim,274.08,275.08,E19,-42.10022465552031
proto1_early-stim_sw2,281.11,282.09,1.0,early-stim,281.34,281.83,E3,-49.72934391595766
proto1_early-stim_sw20,371.34,372.42,1.0,early-stim,371.65,372.15,E19,-61.09041728359779
proto1_early-stim_sw21,371.36,372.39,1.0,early-stim,371.64,372.14,E21,-51.20947914822348
proto1_early-stim_sw22,371.36,372.37,1.0,early-stim,371.62,372.13,E22,-40.879009085463196
proto1_early-stim_sw23,358.74,360.63,1.0,early-stim,359.08,360.22,E25,-40.80055257310531
proto1_early-stim_sw24,371.33,372.44,1.0,early-stim,371.65,372.16,E25,-58.72984404126043
proto1_early-stim_sw25,371.34,372.45,1.0,early-stim,371.65,372.17,E26,-65.7589917620385
proto1_early-stim_sw26,371.34,372.43,1.0,early-stim,371.64,372.16,E27,-55.47162855039895
proto1_early-stim_sw27,358.7,360.66,1.0,early-stim,359.06,360.22,E31,-45.01825169215988
proto1_early-stim_sw28,371.29,372.46,1.0,early-stim,371.63,372.17,E31,-53.7007606520367
proto1_early-stim_sw29,358.72,360.6,1.0,early-stim,359.05,360.19,E32,-42.5101800180881
proto1_early-stim_sw3,371.42,372.33,1.0,early-stim,371.69,372.12,E3,-41.963154184039965
proto1_early-stim_sw30,371.28,372.46,1.0,early-stim,371.63,372.18,E32,-54.90988940757205
proto1_early-stim_sw31,278.77,280.96,1.0,early-stim,279.72,280.23,E33,-46.204570442948594
proto1_early-stim_sw32,358.72,360.52,1.0,early-stim,359.04,360.14,E33,-41.88701885774765
proto1_early-stim_sw33,371.26,372.45,1.0,early-stim,371.62,372.17,E33,-47.15608407503927
proto1_early-stim_sw34,278.82,280.93,1.0,early-stim,279.73,280.25,E37,-45.347044551215056
proto1_early-stim_sw35,294.58,296.63,1.0,early-stim,295.54,296.03,E37,-41.845798980873575
proto1_early-stim_sw36,358.72,360.59,1.0,early-stim,359.05,360.24,E37,-43.29907748779943
proto1_early-stim_sw37,358.71,360.42,1.0,early-stim,359.02,360.02,E39,-43.41897651784077
proto1_early-stim_sw38,292.34,294.01,1.0,early-stim,292.64,293.63,E55,-75.02857745123292
proto1_early-stim_sw39,371.69,373.39,1.0,early-stim,372.05,373.07,E62,-43.666632985877214
proto1_early-stim_sw4,281.09,282.11,1.0,early-stim,281.32,281.82,E4,-48.54775697912661
proto1_early-stim_sw40,371.7,373.46,1.0,early-stim,372.06,373.07,E63,-45.454080822784455
proto1_early-stim_sw41,370.74,371.99,1.0,early-stim,371.22,371.75,E116,-44.88064393622906
proto1_early-stim_sw42,370.82,372.03,1.0,early-stim,371.23,371.76,E117,-45.11537174246276
proto1_early-stim_sw43,370.78,372.0,1.0,early-stim,371.22,371.76,E126,-46.54050214703474
proto1_early-stim_sw44,370.78,372.01,1.0,early-stim,371.2,371.75,E127,-46.95513154992074
proto1_early-stim_sw45,289.23,290.87,1.0,early-stim,289.55,290.58,E136,-66.41807940636315
