Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto5_pre-stim_sw220,3812.63,3813.95,5.0,pre-stim,3812.97,3813.71,E71,-66.83395187847405
proto5_pre-stim_sw352,3921.65,3923.11,5.0,pre-stim,3922.01,3922.75,E159,-73.98637101141462
proto5_early-stim_sw1,3960.96,3962.54,5.0,early-stim,3961.42,3962.11,E1,-41.623647712766136
proto5_early-stim_sw10,4033.48,4035.22,5.0,early-stim,4033.98,4034.69,E7,-50.079319779747536
proto5_early-stim_sw116,3978.41,3980.21,5.0,early-stim,3978.71,3979.82,E71,-77.4475968691623
proto5_early-stim_sw16,4049.27,4050.87,5.0,early-stim,4049.56,4050.56,E10,-43.00702005456705
proto5_early-stim_sw39,4039.63,4040.8,5.0,early-stim,4039.9,4040.46,E18,-67.20828584773768
proto5_early-stim_sw9,3971.73,3973.28,5.0,early-stim,3972.08,3972.94,E7,-60.84079313096183
proto5_late-stim_sw10,4067.21,4068.32,5.0,late-stim,4067.53,4068.06,E10,-56.97989977652922
proto5_late-stim_sw101,4115.06,4116.39,5.0,late-stim,4115.39,4115.93,E37,-49.50216407182735
proto5_late-stim_sw102,4139.58,4140.78,5.0,late-stim,4139.91,4140.47,E37,-57.047555484281325
proto5_late-stim_sw103,4144.02,4145.46,5.0,late-stim,4144.27,4145.22,E37,-42.09429167630257
proto5_late-stim_sw104,4147.6,4148.71,5.0,late-stim,4147.94,4148.45,E37,-78.97342789978943
proto5_post-stim_sw1,4298.45,4300.33,5.0,post-stim,4299.15,4299.79,E1,-55.26721123884274
proto5_post-stim_sw102,4310.16,4311.4,5.0,post-stim,4310.42,4310.93,E18,-75.84861083046388
proto5_post-stim_sw111,4355.44,4356.88,5.0,post-stim,4355.81,4356.66,E19,-81.29711414412537
proto5_post-stim_sw238,4293.33,4294.14,5.0,post-stim,4293.59,4294.01,E37,-98.41360428963151
proto6_pre-stim_sw29,4650.34,4651.56,6.0,pre-stim,4650.64,4651.17,E67,-52.117325381582035
proto6_pre-stim_sw41,4657.09,4658.19,6.0,pre-stim,4657.39,4657.87,E146,-61.65224356319889
proto6_pre-stim_sw48,4650.34,4651.37,6.0,pre-stim,4650.62,4651.09,E216,-65.66107929638736
proto6_early-stim_sw20,4698.92,4700.16,6.0,early-stim,4699.34,4699.9,E32,-63.282389873583014
proto6_early-stim_sw29,4697.99,4699.48,6.0,early-stim,4698.3,4699.14,E115,-61.8236349833524
proto6_late-stim_sw2,4774.0,4775.52,6.0,late-stim,4774.31,4774.8,E157,-44.5025223657022
proto6_post-stim_sw1,4802.0,4803.35,6.0,post-stim,4802.39,4803.11,E10,-71.31896995275451
proto6_post-stim_sw13,4801.91,4803.17,6.0,post-stim,4802.34,4802.87,E37,-90.16334946928848
proto7_pre-stim_sw10,5108.42,5109.56,7.0,pre-stim,5108.8,5109.28,E16,-51.07108670126492
proto7_pre-stim_sw11,5171.65,5173.37,7.0,pre-stim,5172.09,5173.1,E18,-48.65911011954485
proto7_pre-stim_sw55,5108.99,5110.4,7.0,pre-stim,5109.3,5109.8,E146,-76.73344887516308
proto7_early-stim_sw10,5366.74,5368.79,7.0,early-stim,5367.01,5368.08,E115,-103.38371684082574
proto7_late-stim_sw10,5487.64,5489.88,7.0,late-stim,5488.68,5489.21,E25,-47.17565149085038
proto7_late-stim_sw30,5445.77,5447.32,7.0,late-stim,5446.07,5446.59,E114,-57.41291524024159
proto7_post-stim_sw1,5568.6,5570.08,7.0,post-stim,5568.93,5569.8,E3,-57.83603613118615
proto7_post-stim_sw35,5567.6,5569.09,7.0,post-stim,5567.91,5568.63,E216,-82.9386541904035
proto8_pre-stim_sw1,6004.71,6005.76,8.0,pre-stim,6005.01,6005.51,E1,-68.20321547417463
